,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,ApplicantIncome_log,LoanAmount_log
88,LP001471,1,0,2,0,0,3235,2015,77.0,360.0,1.0,2,3235,4.343805421853684
89,LP001472,0,0,0,1,0,5058,0,200.0,360.0,1.0,0,5058,5.298317366548036
90,LP001475,1,1,0,1,1,3188,2286,130.0,360.0,1.0,0,3188,4.867534450455582
91,LP001483,1,1,3,1,0,13518,0,390.0,360.0,1.0,0,13518,5.966146739123692
92,LP001486,1,1,1,1,0,4364,2500,185.0,360.0,1.0,2,4364,5.220355825078324
93,LP001490,1,1,2,0,0,4766,1646,100.0,360.0,1.0,2,4766,4.605170185988092
94,LP001496,1,1,1,1,0,4609,2333,123.0,360.0,0.0,2,4609,4.812184355372417
95,LP001499,0,1,3,1,0,6260,0,110.0,360.0,1.0,2,6260,4.700480365792417
96,LP001500,1,1,1,1,0,3333,4200,256.0,360.0,1.0,1,3333,5.545177444479562
97,LP001501,1,1,0,1,0,3500,3250,140.0,360.0,1.0,2,3500,4.941642422609304
98,LP001517,1,1,3,1,0,9719,0,61.0,360.0,1.0,1,9719,4.110873864173311
99,LP001527,1,1,3,1,0,6835,0,188.0,360.0,1.0,2,6835,5.236441962829949
100,LP001534,1,0,0,1,0,4452,0,131.0,360.0,1.0,0,4452,4.875197323201151
101,LP001542,0,1,0,1,0,2262,0,136.13259668508286,480.0,0.0,2,2262,4.91362938638163
102,LP001547,1,1,1,1,0,3901,0,116.0,360.0,1.0,1,3901,4.7535901911063645
103,LP001548,1,1,2,0,0,2687,0,50.0,180.0,1.0,0,2687,3.912023005428146
104,LP001558,1,0,0,1,0,2243,2233,107.0,360.0,1.0,2,2243,4.672828834461906
105,LP001561,0,1,0,1,0,3417,1287,200.0,360.0,1.0,2,3417,5.298317366548036
106,LP001563,1,0,0,1,0,1596,1760,119.0,360.0,0.0,1,1596,4.77912349311153
107,LP001567,1,1,3,1,0,4513,0,120.0,360.0,1.0,0,4513,4.787491742782046
108,LP001568,1,1,0,1,0,4500,0,140.0,360.0,1.0,2,4500,4.941642422609304
109,LP001573,1,1,0,0,0,4523,1350,165.0,360.0,1.0,1,4523,5.10594547390058
110,LP001584,0,0,0,1,1,4742,0,108.0,360.0,1.0,2,4742,4.68213122712422
111,LP001587,1,1,0,1,0,4082,0,93.0,360.0,1.0,2,4082,4.532599493153256
112,LP001589,0,0,0,1,0,3417,0,102.0,360.0,1.0,1,3417,4.624972813284271
113,LP001591,0,1,2,1,0,2922,3396,122.0,360.0,1.0,2,2922,4.804021044733257
114,LP001599,1,1,0,1,0,4167,4754,160.0,360.0,1.0,0,4167,5.075173815233827
115,LP001601,1,0,3,1,0,4243,4123,157.0,360.0,1.0,2,4243,5.056245805348308
116,LP001607,0,0,0,0,0,0,1760,180.0,360.0,1.0,2,0,5.19295685089021
117,LP001611,1,1,1,1,0,1516,2900,80.0,360.0,0.0,0,1516,4.382026634673881
118,LP001613,0,0,0,1,0,1762,2666,104.0,360.0,0.0,1,1762,4.6443908991413725
119,LP001622,1,1,2,1,0,724,3510,213.0,360.0,0.0,0,724,5.3612921657094255
120,LP001627,1,0,0,1,0,3125,0,65.0,360.0,1.0,1,3125,4.174387269895637
121,LP001650,1,1,0,1,0,2333,3803,146.0,360.0,1.0,0,2333,4.983606621708336
122,LP001651,1,1,3,1,0,3350,1560,135.0,360.0,1.0,1,3350,4.90527477843843
123,LP001652,1,0,0,1,0,2500,6414,187.0,360.0,0.0,0,2500,5.231108616854587
124,LP001655,0,0,0,1,0,12500,0,300.0,360.0,0.0,1,12500,5.703782474656201
125,LP001660,1,0,0,1,0,4667,0,120.0,360.0,1.0,2,4667,4.787491742782046
126,LP001662,1,0,0,1,0,6500,0,71.0,360.0,0.0,1,6500,4.2626798770413155
127,LP001663,1,1,2,1,0,7500,0,225.0,360.0,1.0,1,7500,5.41610040220442
128,LP001667,1,0,0,1,0,3073,0,70.0,180.0,1.0,1,3073,4.248495242049359
129,LP001695,1,1,1,0,0,3321,2088,70.0,360.0,1.0,2,3321,4.248495242049359
130,LP001703,1,1,0,1,0,3333,1270,124.0,360.0,1.0,1,3333,4.820281565605037
131,LP001718,1,0,0,1,0,3391,0,132.0,360.0,1.0,0,3391,4.882801922586371
132,LP001728,1,1,1,1,1,3343,1517,105.0,360.0,1.0,0,3343,4.653960350157523
133,LP001735,0,0,1,1,0,3620,0,90.0,360.0,1.0,1,3620,4.499809670330265
134,LP001737,1,0,0,1,0,4000,0,83.0,84.0,1.0,1,4000,4.418840607796598
135,LP001739,1,1,0,1,0,4258,0,125.0,360.0,1.0,1,4258,4.8283137373023015
136,LP001742,1,1,2,1,0,4500,0,147.0,360.0,1.0,0,4500,4.990432586778736
137,LP001757,1,1,1,1,0,2014,2925,120.0,360.0,1.0,0,2014,4.787491742782046
138,LP001769,1,0,0,1,0,3333,1250,110.0,360.0,1.0,2,3333,4.700480365792417
139,LP001771,0,0,3,1,0,4083,0,103.0,360.0,1.0,2,4083,4.634728988229636
140,LP001785,1,0,0,1,0,4727,0,150.0,360.0,0.0,0,4727,5.0106352940962555
141,LP001787,1,1,3,1,0,3089,2999,100.0,240.0,1.0,0,3089,4.605170185988092
142,LP001789,1,1,3,0,0,6794,528,139.0,360.0,0.0,1,6794,4.9344739331306915
143,LP001791,1,1,0,1,1,32000,0,550.0,360.0,1.0,2,32000,6.309918278226516
144,LP001794,1,1,2,1,1,10890,0,260.0,12.0,1.0,0,10890,5.560681631015528
145,LP001797,0,0,0,1,0,12941,0,150.0,300.0,1.0,1,12941,5.0106352940962555
146,LP001815,1,0,0,0,0,3276,0,90.0,360.0,1.0,2,3276,4.499809670330265
147,LP001817,1,0,0,0,1,8703,0,199.0,360.0,0.0,0,8703,5.293304824724492
148,LP001818,1,1,1,1,0,4742,717,139.0,360.0,1.0,2,4742,4.9344739331306915
149,LP001822,1,0,0,1,0,5900,0,150.0,360.0,1.0,1,5900,5.0106352940962555
150,LP001827,1,0,0,1,0,3071,4309,180.0,360.0,1.0,1,3071,5.19295685089021
151,LP001831,1,1,0,1,0,2783,1456,113.0,360.0,1.0,1,2783,4.727387818712341
152,LP001842,1,0,0,1,0,5000,0,148.0,360.0,1.0,0,5000,4.997212273764115
153,LP001853,1,1,1,0,0,2463,2360,117.0,360.0,0.0,1,2463,4.762173934797756
154,LP001855,1,1,2,1,0,4855,0,72.0,360.0,1.0,0,4855,4.276666119016055
155,LP001857,1,0,0,0,1,1599,2474,125.0,300.0,1.0,2,1599,4.8283137373023015
156,LP001862,1,1,2,1,1,4246,4246,214.0,360.0,1.0,1,4246,5.365976015021851
157,LP001867,1,1,0,1,0,4333,2291,133.0,350.0,1.0,0,4333,4.890349128221754
158,LP001878,1,0,1,1,0,5823,2529,187.0,360.0,1.0,2,5823,5.231108616854587
159,LP001881,1,1,0,0,0,7895,0,143.0,360.0,1.0,0,7895,4.962844630259907
160,LP001886,1,0,0,1,0,4150,4256,209.0,360.0,1.0,0,4150,5.342334251964811
161,LP001906,1,0,0,1,0,2964,0,84.0,360.0,0.0,2,2964,4.430816798843313
162,LP001909,1,0,0,1,0,5583,0,116.0,360.0,1.0,1,5583,4.7535901911063645
163,LP001911,0,0,0,1,0,2708,0,65.0,360.0,1.0,0,2708,4.174387269895637
164,LP001921,1,0,1,1,0,3180,2370,80.0,240.0,1.0,0,3180,4.382026634673881
165,LP001923,1,0,0,0,0,2268,0,170.0,360.0,0.0,2,2268,5.135798437050262
166,LP001933,1,0,2,0,0,1141,2017,120.0,360.0,0.0,1,1141,4.787491742782046
167,LP001943,1,1,0,1,0,3042,3167,135.0,360.0,1.0,1,3042,4.90527477843843
168,LP001950,0,1,3,1,0,1750,2935,94.0,360.0,0.0,2,1750,4.543294782270004
169,LP001959,0,1,1,1,0,3564,0,79.0,360.0,1.0,0,3564,4.3694478524670215
170,LP001961,0,0,0,1,0,3958,0,110.0,360.0,1.0,0,3958,4.700480365792417
171,LP001973,1,1,2,0,0,4483,0,130.0,360.0,1.0,0,4483,4.867534450455582
172,LP001975,1,1,0,1,0,5225,0,143.0,360.0,1.0,0,5225,4.962844630259907
173,LP001979,1,0,0,1,0,3017,2845,159.0,180.0,0.0,1,3017,5.0689042022202315
174,LP001995,1,1,0,0,0,2431,1820,110.0,360.0,0.0,0,2431,4.700480365792417
175,LP001999,1,1,2,1,0,4912,4614,160.0,360.0,1.0,0,4912,5.075173815233827
176,LP002007,1,1,2,0,0,2500,3333,131.0,360.0,1.0,1,2500,4.875197323201151
177,LP002009,0,0,0,1,0,2918,0,65.0,360.0,1.0,0,2918,4.174387269895637
178,LP002016,1,1,2,1,0,5128,0,143.0,360.0,1.0,0,5128,4.962844630259907
179,LP002017,1,1,3,1,0,15312,0,187.0,360.0,1.0,1,15312,5.231108616854587
180,LP002018,1,1,2,1,0,3958,2632,160.0,360.0,1.0,2,3958,5.075173815233827
181,LP002027,1,1,0,1,0,4334,2945,165.0,360.0,1.0,2,4334,5.10594547390058
182,LP002028,1,1,2,1,0,4358,0,110.0,360.0,1.0,1,4358,4.700480365792417
183,LP002042,0,1,1,1,0,4000,3917,173.0,360.0,1.0,0,4000,5.153291594497779
184,LP002045,1,1,3,1,0,10166,750,150.0,360.0,1.0,1,10166,5.0106352940962555
185,LP002046,1,1,0,0,0,4483,0,135.0,360.0,1.0,2,4483,4.90527477843843
186,LP002047,1,1,2,0,0,4521,1184,150.0,360.0,1.0,2,4521,5.0106352940962555
187,LP002056,1,1,2,1,0,9167,0,235.0,360.0,1.0,2,9167,5.459585514144159
188,LP002057,1,1,0,0,0,13083,0,136.13259668508286,360.0,1.0,0,13083,4.91362938638163
189,LP002059,1,1,2,1,0,7874,3967,336.0,360.0,1.0,0,7874,5.817111159963204
190,LP002062,0,1,1,1,0,4333,0,132.0,84.0,1.0,0,4333,4.882801922586371
191,LP002064,1,0,0,1,0,4083,0,96.0,360.0,1.0,1,4083,4.564348191467836
192,LP002069,1,1,2,0,0,3785,2912,180.0,360.0,0.0,0,3785,5.19295685089021
193,LP002070,1,1,3,0,0,2654,1998,128.0,360.0,0.0,0,2654,4.852030263919617
194,LP002077,1,1,1,1,0,10000,2690,412.0,360.0,1.0,2,10000,6.021023349349527
195,LP002083,1,0,0,1,1,5833,0,116.0,360.0,1.0,1,5833,4.7535901911063645
196,LP002090,1,1,1,1,0,4796,0,114.0,360.0,0.0,2,4796,4.736198448394496
197,LP002096,1,1,0,0,0,2000,1600,115.0,360.0,1.0,0,2000,4.74493212836325
198,LP002099,1,1,2,1,0,2540,700,104.0,360.0,0.0,1,2540,4.6443908991413725
199,LP002102,1,1,0,1,1,1900,1442,88.0,360.0,1.0,0,1900,4.477336814478207
200,LP002105,1,1,0,1,1,8706,0,108.0,480.0,1.0,0,8706,4.68213122712422
201,LP002107,1,1,3,0,0,2855,542,90.0,360.0,1.0,1,2855,4.499809670330265
202,LP002111,1,1,0,1,0,3016,1300,100.0,360.0,1.0,1,3016,4.605170185988092
203,LP002117,0,1,0,1,0,3159,2374,108.0,360.0,1.0,2,3159,4.68213122712422
204,LP002118,0,0,0,1,0,1937,1152,78.0,360.0,1.0,2,1937,4.356708826689592
205,LP002123,1,1,0,1,0,2613,2417,123.0,360.0,1.0,2,2613,4.812184355372417
206,LP002125,1,1,1,1,0,4960,2600,187.0,360.0,1.0,2,4960,5.231108616854587
207,LP002148,1,1,1,1,0,3074,1083,146.0,360.0,1.0,2,3074,4.983606621708336
208,LP002152,0,0,0,1,0,4213,0,80.0,360.0,1.0,1,4213,4.382026634673881
209,LP002165,1,0,1,0,0,2038,4027,100.0,360.0,1.0,0,2038,4.605170185988092
210,LP002167,0,0,0,1,0,2362,0,55.0,360.0,1.0,1,2362,4.007333185232471
211,LP002168,1,0,0,1,0,5333,2400,200.0,360.0,0.0,0,5333,5.298317366548036
212,LP002172,1,1,3,1,1,5384,0,150.0,360.0,1.0,2,5384,5.0106352940962555
213,LP002176,1,0,0,1,0,5708,0,150.0,360.0,1.0,0,5708,5.0106352940962555
214,LP002183,1,1,0,0,0,3754,3719,118.0,360.0,1.0,0,3754,4.770684624465665
215,LP002184,1,1,0,0,0,2914,2130,150.0,300.0,1.0,1,2914,5.0106352940962555
216,LP002186,1,1,0,0,0,2747,2458,118.0,36.0,1.0,2,2747,4.770684624465665
217,LP002192,1,1,0,1,0,7830,2183,212.0,360.0,1.0,0,7830,5.356586274672012
218,LP002195,1,1,1,1,1,3507,3148,212.0,360.0,1.0,0,3507,5.356586274672012
219,LP002208,1,1,1,1,0,3747,2139,125.0,360.0,1.0,1,3747,4.8283137373023015
220,LP002212,1,1,0,1,0,2166,2166,108.0,360.0,1.0,1,2166,4.68213122712422
221,LP002240,1,1,0,0,0,3500,2168,149.0,360.0,1.0,0,3500,5.003946305945459
222,LP002245,1,1,2,0,0,2896,0,80.0,480.0,1.0,1,2896,4.382026634673881
223,LP002253,0,0,1,1,0,5062,0,152.0,300.0,1.0,0,5062,5.0238805208462765
224,LP002256,0,0,2,1,1,5184,0,187.0,360.0,0.0,2,5184,5.231108616854587
225,LP002257,0,0,0,1,0,2545,0,74.0,360.0,1.0,1,2545,4.30406509320417
226,LP002264,1,1,0,1,0,2553,1768,102.0,360.0,1.0,1,2553,4.624972813284271
227,LP002270,1,1,1,1,0,3436,3809,100.0,360.0,1.0,0,3436,4.605170185988092
228,LP002279,1,0,0,1,0,2412,2755,130.0,360.0,1.0,0,2412,4.867534450455582
229,LP002286,1,1,3,0,0,5180,0,125.0,360.0,0.0,1,5180,4.8283137373023015
230,LP002294,1,0,0,1,0,14911,14507,130.0,360.0,1.0,2,14911,4.867534450455582
231,LP002298,1,0,0,1,1,2860,2988,138.0,360.0,1.0,1,2860,4.927253685157205
232,LP002306,1,1,0,1,0,1173,1594,28.0,180.0,1.0,0,1173,3.332204510175204
233,LP002310,0,0,1,1,0,7600,0,92.0,360.0,1.0,2,7600,4.5217885770490405
234,LP002311,0,1,0,1,0,2157,1788,104.0,360.0,1.0,1,2157,4.6443908991413725
235,LP002316,1,0,0,1,0,2231,2774,176.0,360.0,0.0,1,2231,5.170483995038151
236,LP002321,0,0,0,1,0,2274,5211,117.0,360.0,0.0,2,2274,4.762173934797756
237,LP002325,1,1,2,0,0,6166,13983,102.0,360.0,1.0,0,6166,4.624972813284271
238,LP002326,1,1,2,0,0,2513,1110,107.0,360.0,1.0,2,2513,4.672828834461906
239,LP002329,1,0,0,1,0,4333,0,66.0,480.0,1.0,1,4333,4.189654742026425
240,LP002333,1,0,0,0,0,3844,0,105.0,360.0,1.0,1,3844,4.653960350157523
241,LP002339,1,1,0,1,0,3887,1517,105.0,360.0,0.0,2,3887,4.653960350157523
242,LP002344,1,1,0,1,0,3510,828,105.0,360.0,1.0,2,3510,4.653960350157523
243,LP002346,1,1,0,1,0,2539,1704,125.0,360.0,0.0,0,2539,4.8283137373023015
244,LP002354,0,0,0,0,0,2107,0,64.0,360.0,1.0,2,2107,4.1588830833596715
245,LP002355,1,1,0,1,0,3186,3145,150.0,180.0,0.0,2,3186,5.0106352940962555
246,LP002358,1,1,2,1,1,5000,2166,150.0,360.0,1.0,1,5000,5.0106352940962555
247,LP002360,1,1,0,1,0,10000,0,136.13259668508286,360.0,1.0,1,10000,4.91362938638163
248,LP002375,1,1,0,0,1,3943,0,64.0,360.0,1.0,2,3943,4.1588830833596715
249,LP002376,1,0,0,1,0,2925,0,40.0,180.0,1.0,0,2925,3.6888794541139363
250,LP002383,1,1,3,1,0,3242,437,142.0,480.0,0.0,1,3242,4.955827057601261
251,LP002385,1,1,0,1,0,3863,0,70.0,300.0,1.0,2,3863,4.248495242049359
252,LP002389,0,0,1,1,0,4028,0,131.0,360.0,1.0,2,4028,4.875197323201151
253,LP002394,1,1,2,1,0,4010,1025,120.0,360.0,1.0,1,4010,4.787491742782046
254,LP002397,0,1,1,1,0,3719,1585,114.0,360.0,1.0,1,3719,4.736198448394496
255,LP002399,1,0,0,1,0,2858,0,123.0,360.0,0.0,0,2858,4.812184355372417
256,LP002400,0,1,0,1,0,3833,0,92.0,360.0,1.0,0,3833,4.5217885770490405
257,LP002402,1,1,0,1,0,3333,4288,160.0,360.0,1.0,1,3333,5.075173815233827
258,LP002412,1,1,0,1,0,3007,3725,151.0,360.0,1.0,0,3007,5.017279836814924
259,LP002415,0,0,1,1,0,1850,4583,81.0,360.0,1.0,0,1850,4.394449154672439
260,LP002417,1,1,3,0,0,2792,2619,171.0,360.0,1.0,2,2792,5.14166355650266
261,LP002420,1,1,0,1,0,2982,1550,110.0,360.0,1.0,2,2982,4.700480365792417
262,LP002425,1,0,0,1,0,3417,738,100.0,360.0,1.0,0,3417,4.605170185988092
263,LP002433,1,1,1,1,0,18840,0,234.0,360.0,1.0,0,18840,5.455321115357702
264,LP002440,1,1,2,1,0,2995,1120,184.0,360.0,1.0,0,2995,5.214935757608986
265,LP002441,1,0,0,1,0,3579,3308,138.0,360.0,1.0,2,3579,4.927253685157205
266,LP002442,0,1,1,0,0,3835,1400,112.0,480.0,0.0,1,3835,4.718498871295094
267,LP002445,0,0,1,0,0,3854,3575,117.0,360.0,1.0,0,3854,4.762173934797756
268,LP002450,1,1,2,1,0,5833,750,49.0,360.0,0.0,0,5833,3.8918202981106265
269,LP002471,1,0,0,1,0,3508,0,99.0,360.0,1.0,0,3508,4.59511985013459
270,LP002476,0,1,3,0,0,1635,2444,99.0,360.0,1.0,1,1635,4.59511985013459
271,LP002482,0,0,0,1,1,3333,3916,212.0,360.0,1.0,0,3333,5.356586274672012
272,LP002485,1,0,1,1,0,24797,0,240.0,360.0,1.0,2,24797,5.480638923341991
273,LP002495,1,1,2,1,0,5667,440,130.0,360.0,0.0,2,5667,4.867534450455582
274,LP002496,0,0,0,1,0,3500,0,94.0,360.0,0.0,2,3500,4.543294782270004
275,LP002523,1,1,3,1,0,2773,1497,108.0,360.0,1.0,2,2773,4.68213122712422
276,LP002542,1,1,0,1,0,6500,0,144.0,360.0,1.0,1,6500,4.969813299576001
277,LP002550,0,0,0,1,0,5769,0,110.0,180.0,1.0,2,5769,4.700480365792417
278,LP002551,1,1,3,0,0,3634,910,176.0,360.0,0.0,2,3634,5.170483995038151
279,LP002553,1,0,0,1,0,29167,0,185.0,360.0,1.0,2,29167,5.220355825078324
280,LP002554,1,0,0,1,0,2166,2057,122.0,360.0,1.0,2,2166,4.804021044733257
281,LP002561,1,1,0,1,0,5000,0,126.0,360.0,1.0,0,5000,4.836281906951478
282,LP002566,0,0,0,1,0,5530,0,135.0,360.0,1.0,1,5530,4.90527477843843
283,LP002568,1,0,0,0,0,9000,0,122.0,360.0,1.0,0,9000,4.804021044733257
284,LP002570,0,1,2,1,0,10000,11666,460.0,360.0,1.0,1,10000,6.131226489483141
285,LP002572,1,1,1,1,0,8750,0,297.0,360.0,1.0,1,8750,5.6937321388027
286,LP002581,1,1,0,0,0,2157,2730,140.0,360.0,1.0,0,2157,4.941642422609304
287,LP002584,1,0,0,1,0,1972,4347,106.0,360.0,1.0,0,1972,4.663439094112067
288,LP002592,1,0,0,1,0,4983,0,141.0,360.0,1.0,1,4983,4.948759890378168
